bm25,bm25,bm25,bm25,bm25,dpr,dpr,dpr,dpr,dpr,chunker,chunker_params,top_k,seed,num_chunks,chunks_per_doc
latency,em,precision,recall,mrr,latency,em,precision,recall,mrr,,,,,,
0.24541418999433517,0.01,0.002,0.01,0.01,10.537734560275567,0.0,0.0,0.0,0.0,overlap,"{'chunk_size': 256, 'overlap': 64, 'drop_last': False}",5,42,250,1.0
