bm25,bm25,bm25,bm25,bm25,dpr,dpr,dpr,dpr,dpr,chunker,chunker_params,top_k,seed,num_chunks,chunks_per_doc
latency,em,precision,recall,mrr,latency,em,precision,recall,mrr,,,,,,
0.24723833026655484,0.01,0.002,0.01,0.01,10.403432099992642,0.0,0.0,0.0,0.0,semantic,{'chunk_char_limit': 1000},5,42,250,1.0
